Domain,Type,Agency,Organization,City,State,Security Contact Email,v,p,sp,pct,adkim,aspf,fo,ruf,rua,rf,ri,
59DCMI.GOV,City,Non-Federal Agency,59th District Court,Walker,MI,soc@walker.city,DMARC1,reject,reject,100,s,s,0,none,none,afrf,86400,
ABERDEENMD.GOV,City,Non-Federal Agency,City of Aberdeen,Aberdeen,MD,(blank),DMARC1,reject,reject,100,r,r,1,mailto:ruf+aberdeenmd.gov@dmarc.barracudanetworks.com,mailto:rua+aberdeenmd.gov@dmarc.barracudanetworks.com,afrf,86400,
ABERDEENWA.GOV,City,Non-Federal Agency,City of Aberdeen,Aberdeen,WA,rlampky@aberdeenwa.gov,null,,,,,,,,,,,
ABILENETX.GOV,City,Non-Federal Agency,City of Abilene,Abilene,TX,bobvw@abilenetx.gov,DMARC1,none,none,5,r,r,0,none,mailto:postmaster@abilenetx.com,afrf,86400,
ABINGDON-VA.GOV,City,Non-Federal Agency,Town of Abingdon,Abingdon,VA,itdept@abingdon-va.gov,null,,,,,,,,,,,
ABINGTONMA.GOV,City,Non-Federal Agency,Town of Abington,Abington,MA,wnorling@abingtonma.gov,null,,,,,,,,,,,
ABINGTONPA.GOV,City,Non-Federal Agency,Abington Township,Abington,PA,nvasserman@AbingtonPA.gov,null,,,,,,,,,,,
ABITASPRINGSLA.GOV,City,Non-Federal Agency,Town Of Abita Springs,Abita Springs,LA,support@abitaspringsla.gov,DMARC1,none,none,100,r,r,1:d:s,mailto:dmarc@7c643g7w.uriports.com,mailto:dmarc@7c643g7w.uriports.com,afrf,86400,
ABSECONNJ.GOV,City,Non-Federal Agency,City of Absecon,Absecon,NJ,support@macregsolutions.com,null,,,,,,,,,,,
ACCESSPRINCETONNJ.GOV,City,Non-Federal Agency,Princeton,Princeton,NJ,pdepasquale@princetonnj.gov,null,,,,,,,,,,,
ACNJ.GOV,City,Non-Federal Agency,City of Atlantic City,Atlantic City,NJ,pquinlan@cityofatlanticcity.org,DMARC1,none,none,100,r,r,0,mailto:rua+acnj.gov@dmarc.barracudanetworks.com,mailto:rua+acnj.gov@dmarc.barracudanetworks.com,afrf,86400,
ACNJPOLICE.GOV,City,Non-Federal Agency,City of Atlantic City,Atlantic City,NJ,pquinlan@cityofatlanticcity.org,null,,,,,,,,,,,
ACTON-MA.GOV,City,Non-Federal Agency,"""Town of Acton"," Massachusetts""",Acton,MA,DMARC1,quarantine,quarantine,100,r,r,0,mailto:nf9e6cxh@fr.dmarcian.com,mailto:nf9e6cxh@ag.dmarcian.com,afrf,86400,
ACTONMA.GOV,City,Non-Federal Agency,"""Town of Acton"," Massachusetts""",Acton,MA,DMARC1,quarantine,quarantine,100,r,r,0,mailto:nf9e6cxh@fr.dmarcian.com,mailto:nf9e6cxh@ag.dmarcian.com,afrf,86400,
ADAK-AK.GOV,City,Non-Federal Agency,City of Adak,Adak,AK,adak@adak-ak.gov,null,,,,,,,,,,,
ADAMN.GOV,City,Non-Federal Agency,City Of Ada,Ada,MN,(blank),null,,,,,,,,,,,
ADDISONTX.GOV,City,Non-Federal Agency,Town Of Addison,Addison,TX,(blank),null,,,,,,,,,,,
ADDISONWI.GOV,City,Non-Federal Agency,Town of Addison,Allenton,WI,clerk@addisonwi.org,DMARC1,none,none,100,r,r,0,none,mailto:3foldit@addisonwi.gov,afrf,86400,
ADELANTOCA.GOV,City,Non-Federal Agency,City of Adelanto,Adelanto,CA,(blank),null,,,,,,,,,,,
ADRIANMI.GOV,City,Non-Federal Agency,City of Adrian,Adrian,MI,(blank),null,,,,,,,,,,,
ADRIANTWPMI.GOV,City,Non-Federal Agency,Adrian Charter Township,Adrian,MI,bmeloche@adrtiantownship.com,null,,,,,,,,,,,
AFTONWYOMING.GOV,City,Non-Federal Agency,TOWN OF AFTON,AFTON,WY,vsanderson@aftonwyoming.gov,null,,,,,,,,,,,
AHOSKIENC.GOV,City,Non-Federal Agency,Town of Ahoskie,Ahoskie,NC,ebarnes@cocentral.com,null,,,,,,,,,,,
AKRONOHIO.GOV,City,Non-Federal Agency,"""City of Akron"," Ohio""",Akron,OH,DMARC1,none,none,100,r,r,0,none,mailto:DMARCrua@akronohio.gov,afrf,86400,
AKRONOHIORESCUE.GOV,City,Non-Federal Agency,"""City of Akron"," Ohio""",Akron,OH,null,,,,,,,,,,,
ALAMEDACA.GOV,City,Non-Federal Agency,City of Alameda,Alameda,CA,dcagampan@alamedaca.gov,null,,,,,,,,,,,
ALAMOHEIGHTSTX.GOV,City,Non-Federal Agency,City of Alamo Heights,Alamo Heights,TX,jreyna@alamoheightstx.gov,DMARC1,none,none,100,r,r,1,mailto:barcomtest@alamoheightstx.gov,mailto:barcomtest@alamoheightstx.gov,afrf,86400,
ALAMOTOWNSHIPMI.GOV,City,Non-Federal Agency,Alamo Township,Kalamazoo,MI,kps@shumakergroup.com,null,,,,,,,,,,,
ALBANYCA.GOV,City,Non-Federal Agency,Citiy of Albany,Albany,CA,security@albanyca.org,null,,,,,,,,,,,
ALBANYGA.GOV,City,Non-Federal Agency,City of Albany,Albany,GA,jdemott@albanyga.gov,null,,,,,,,,,,,
ALBANYNY.GOV,City,Non-Federal Agency,City of Albany,Albany,NY,networkadministrator@albanyny.gov,DMARC1,reject,reject,100,r,r,0,mailto:networkadministrator@albanyny.gov,mailto:networkadministrator@albanyny.gov,afrf,84600,
ALBANYOREGON.GOV,City,Non-Federal Agency,"""City of Albany"," Oregon""",Albany,OR,null,,,,,,,,,,,
ALBEMARLENC.GOV,City,Non-Federal Agency,City of Albemarle,Albemarle,NC,osquires@ci.albemarle.nc.us,DMARC1,reject,reject,100,r,r,0,mailto:icsytme3@fr.us.dmarcian.com,mailto:icsytme3@ag.us.dmarcian.com,afrf,86400,
ALBERTTWPMI.GOV,City,Non-Federal Agency,Township of Albert,Lewiston,MI,sales@beardedbinyl.com,null,,,,,,,,,,,
ALBERTVILLEMN.GOV,City,Non-Federal Agency,City of Albertville,Albertville,MN,tlannes@ci.albertville.mn.us,DMARC1,none,none,100,r,r,0,none,none,afrf,86400,
ALBUQUERQUE-NM.GOV,City,Non-Federal Agency,City of Albuquerque ,Albuquerque,NM,(blank),null,,,,,,,,,,,
ALEDOIL.GOV,City,Non-Federal Agency,City of Aledo,Aledo,IL,cityclerk@aledoil.org,null,,,,,,,,,,,
ALEDOTX.GOV,City,Non-Federal Agency,City of Aledo,Aledo,TX,todd@covingtonservices.us,null,,,,,,,,,,,
ALEKNAGIKAK.GOV,City,Non-Federal Agency,City of Aleknagik,Aleknagik,AK,tech@aleknagikak.gov,spf1,error,error,100,r,r,0,none,none,afrf,86400,
ALEXANDERCITYAL.GOV,City,Non-Federal Agency,City of Alexander City,Alexander City,AL,support@alexandercityal.gov,null,,,,,,,,,,,
ALEXANDRIANH.GOV,City,Non-Federal Agency,Town of Alexandria,Alexandria,NH,klavelle@ccsnh.com,null,,,,,,,,,,,
ALEXANDRIANJ.GOV,City,Non-Federal Agency,Alexandria Township,Milford,NJ,(blank),null,,,,,,,,,,,
ALEXANDRIAVA.GOV,City,Non-Federal Agency,City of Alexandria,Alexandria,VA,security@alexandriava.gov,DMARC1,none,none,100,r,r,0,none,"mailto:re+c3583dc40201@inbound.dmarcdigests.com,mailto:re+deyz4ka7t07@dmarc.postmarkapp.com",afrf,86400,
ALFREDME.GOV,City,Non-Federal Agency,Town of Alfred,Alfred,ME,(blank),DMARC1,reject,none,100,r,r,0,mailto:dlowe@alfredme.gov,mailto:dlowe@alfredme.gov,afrf,302400,
ALGONAIOWA.GOV,City,Non-Federal Agency,City of Algona,Algona,IA,securitysupport@accesssystems.com,null,,,,,,,,,,,
ALGONAWA.GOV,City,Non-Federal Agency,City Of Algona,Algona,WA,(blank),null,,,,,,,,,,,
ALGOODTN.GOV,City,Non-Federal Agency,City Of Algood,Algood,TN,(blank),null,,,,,,,,,,,
ALIQUIPPAPA.GOV,City,Non-Federal Agency,City of Aliquippa,Aliquippa,PA,(blank),null,,,,,,,,,,,
ALLENDALENJ.GOV,City,Non-Federal Agency,Borough of Allendale,Allendale,NJ,jim@cobancomputers.com,null,,,,,,,,,,,
ALLENSTOWNNH.GOV,City,Non-Federal Agency,Town of Allenstown,Allenstown,NH,TA@allenstownnh.gov,null,,,,,,,,,,,
ALLENTOWNPA.GOV,City,Non-Federal Agency,City of Allentown,Allentown,PA,(blank),DMARC1,quarantine,quarantine,80,r,r,1,mailto:13667f98@forensics.dmarc-report.com,mailto:13667f98@mxtoolbox.dmarc-report.com,afrf,86400,
ALLIANCEOH.GOV,City,Non-Federal Agency,City of Alliance,Alliance,OH,(blank),null,,,,,,,,,,,
ALMAARKANSAS.GOV,City,Non-Federal Agency,City of Alma,Alma,AR,cityinfo@cityofalma.org,null,,,,,,,,,,,
ALMACENTERWI.GOV,City,Non-Federal Agency,Village of Alma Center,Alma Center,WI,almacenterwigov@computerguts.net,null,,,,,,,,,,,
ALMENATOWNSHIP.GOV,City,Non-Federal Agency,Almena Township,Paw Paw,MI,markroman2005@comcast.net,null,,,,,,,,,,,
ALMONTMICHIGAN.GOV,City,Non-Federal Agency,Village of Almont,Almont,MI,(blank),null,,,,,,,,,,,
ALPHARETTAGA.GOV,City,Non-Federal Agency,City of Alpharetta,Alpharetta,GA,domainregistration@alpharetta.ga.us,null,,,,,,,,,,,
ALPINEWY.GOV,City,Non-Federal Agency,Town of Alpine,Alpine,WY,alpine@silverstar.com,null,,,,,,,,,,,
ALSTEADNH.GOV,City,Non-Federal Agency,Town of Alstead,Alstead,NH,(blank),DMARC1,none,none,100,r,r,1,mailto:05fabd57@forensics.dmarc-report.com,mailto:05fabd57@mxtoolbox.dmarc-report.com,afrf,86400,
ALTAVISTAVA.GOV,City,Non-Federal Agency,Town of Altavista,Altavista,VA,tcshelton@altavistava.gov,null,,,,,,,,,,,
ALTON-TX.GOV,City,Non-Federal Agency,City of Alton,Alton,TX,(blank),null,,,,,,,,,,,
ALTOONA-WI.GOV,City,Non-Federal Agency,City Of Altoona Emergency Services ,Altoona,WI,police@ci.altoona.wi.us,null,,,,,,,,,,,
ALTOONAPA.GOV,City,Non-Federal Agency,City of Altoona,Altoona,PA,(blank),null,,,,,,,,,,,
ALTUSOK.GOV,City,Non-Federal Agency,City of Altus,Altus,OK,(blank),null,,,,,,,,,,,
ALVIN-TX.GOV,City,Non-Federal Agency,"""City of Alvin"," Texas""",Alvin,TX,null,,,,,,,,,,,
ALVORDTX.GOV,City,Non-Federal Agency,City of Alvord,Alvord,TX,cody@saltlogix.com,null,,,,,,,,,,,
AMARILLO.GOV,City,Non-Federal Agency,City of Amarillo ,Amarillo,TX,jose.villarreal@amarillo.gov,null,,,,,,,,,,,
AMENIANY.GOV,City,Non-Federal Agency,Town of Amenia,Amenia,NY,(blank),null,,,,,,,,,,,
AMERICANFORK.GOV,City,Non-Federal Agency,American Fork City,American Fork,UT,george@americanfork.gov,null,,,,,,,,,,,
AMERICUSGA.GOV,City,Non-Federal Agency,City of Americus,Americus,GA,(blank),null,,,,,,,,,,,
AMERYWI.GOV,City,Non-Federal Agency,City of Amery,Amery,WI,(blank),null,,,,,,,,,,,
AMESBURYMA.GOV,City,Non-Federal Agency,Town of Amesbury,Amesbury,MA,it@amesburyma.gov,null,,,,,,,,,,,
AMHERSTMA.GOV,City,Non-Federal Agency,Town of Amherst,Amherst,MA,hannons@amherstma.gov,null,,,,,,,,,,,
AMHERSTNH.GOV,City,Non-Federal Agency,Town of Amherst,Amherst,NH,jstover@amherstnh.gov,null,,,,,,,,,,,
AMHERSTVA.GOV,City,Non-Federal Agency,Town of Amherst,Amherst,VA,townhall@amherstva.gov,null,,,,,,,,,,,
AMITYVILLEPDNY.GOV,City,Non-Federal Agency,Amityville Village Police Department,Amityville,NY,amityvillepd@amityvillepd.com,DMARC1,quarantine,quarantine,100,r,r,1,mailto:c1d2203b6c7e383@for.dmarcanalyzer.com,mailto:c1d2203b6c7e383@rep.dmarcanalyzer.com,afrf,86400,
AMSTERDAMNY.GOV,City,Non-Federal Agency,City of Amsterdam,Amsterdam,NY,(blank),null,,,,,,,,,,,
ANACORTESWA.GOV,City,Non-Federal Agency,City of Anacortes,Anacortes,WA,(blank),null,,,,,,,,,,,
ANCHORAGEAK.GOV,City,Non-Federal Agency,Municipality of Anchorage,Anchorage,AK,ty.nesheim@anchorageak.gov,null,,,,,,,,,,,
