Domain,Type,Agency,Organization,City,State,Security Contact Email,v,p,sp,pct,adkim,aspf,fo,ruf,rua,rf,ri
59DCMI.GOV,City,Non-Federal Agency,59th District Court,Walker,MI,soc@walker.city,DMARC1,reject,reject,100,s,s,0,none,none,afrf,86400
ABERDEENMD.GOV,City,Non-Federal Agency,City of Aberdeen,Aberdeen,MD,(blank),DMARC1,reject,reject,100,r,r,1,mailto:ruf+aberdeenmd.gov@dmarc.barracudanetworks.com,mailto:rua+aberdeenmd.gov@dmarc.barracudanetworks.com,afrf,86400
ABERDEENWA.GOV,City,Non-Federal Agency,City of Aberdeen,Aberdeen,WA,rlampky@aberdeenwa.gov,null
ABILENETX.GOV,City,Non-Federal Agency,City of Abilene,Abilene,TX,ted.harvey@abilenetx.gov,DMARC1,none,none,5,r,r,0,none,mailto:postmaster@abilenetx.com,afrf,86400
ABINGDON-VA.GOV,City,Non-Federal Agency,Town of Abingdon,Abingdon,VA,itdept@abingdon-va.gov,null
ABINGTONMA.GOV,City,Non-Federal Agency,Town of Abington,Abington,MA,wnorling@abingtonma.gov,null
ABINGTONPA.GOV,City,Non-Federal Agency,Abington Township,Abington,PA,nvasserman@AbingtonPA.gov,null
ABITASPRINGSLA.GOV,City,Non-Federal Agency,Town Of Abita Springs,Abita Springs,LA,support@abitaspringsla.gov,DMARC1,none,none,100,r,r,1:d:s,mailto:dmarc@7c643g7w.uriports.com,mailto:dmarc@7c643g7w.uriports.com,afrf,86400
ABSECONNJ.GOV,City,Non-Federal Agency,City of Absecon,Absecon,NJ,support@macregsolutions.com,null
ACCESSPRINCETONNJ.GOV,City,Non-Federal Agency,Princeton,Princeton,NJ,pdepasquale@princetonnj.gov,null
ACNJ.GOV,City,Non-Federal Agency,City of Atlantic City,Atlantic City,NJ,pquinlan@cityofatlanticcity.org,DMARC1,none,none,100,r,r,0,mailto:rua+acnj.gov@dmarc.barracudanetworks.com,mailto:rua+acnj.gov@dmarc.barracudanetworks.com,afrf,86400
ACNJPOLICE.GOV,City,Non-Federal Agency,City of Atlantic City,Atlantic City,NJ,pquinlan@cityofatlanticcity.org,null
ACTON-MA.GOV,City,Non-Federal Agency,"""Town of Acton"," Massachusetts""",Acton,MA,DMARC1,quarantine,quarantine,100,r,r,0,mailto:nf9e6cxh@fr.dmarcian.com,mailto:nf9e6cxh@ag.dmarcian.com,afrf,86400
ACTONMA.GOV,City,Non-Federal Agency,"""Town of Acton"," Massachusetts""",Acton,MA,DMARC1,quarantine,quarantine,100,r,r,0,mailto:nf9e6cxh@fr.dmarcian.com,mailto:nf9e6cxh@ag.dmarcian.com,afrf,86400
